BCC_Name,B2_Name,Misfit,a_BCC,a_B2,B2_Formation_Energy,B2_VEC,B2_delta_r,B2_chi_avg,B2_delta_chi,B2_Hmix,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb,B2_Name.1,B2_Ru,B2_Hf,B2_Ti,B2_Zr,B2_Al,B2_Mo,B2_Nb,B2_Ta,B2_W,B2_V,B2_Cr,B2_Cu,B2_Si,BCC_formation_energy_per_atom_from_BCC,BCC_formation_energy_eV_per_atom_calc,DeltaE_B2_minus_BCC_eV_per_atom,lattice_misfit_delta,S_conf_eV_per_K,Ts_star_K_simple,S_conf_eV_per_K_fixed,lattice_misfit_delta_fixed,DeltaE_B2_minus_BCC_eV_per_atom_fixed,Ts_star_K_simple_fixed,DeltaS_Exact_eV_K,DeltaH_eV,Term_Thermo_Ratio,T_Base_K,Misfit_Abs,Ts_Target_K,Ts_Target_C,Misfit_Sq,Misfit_Cub,Strain_Energy_Term,Predicted_Solvus_K,Predicted_Solvus_C
Nb75-Ta25,B2_MULTI_162_A_Ru75_Al25_B_HfZr,-0.01068512,3.31909493,3.283818469,-0.87583034,5.375,0.079687323,1.6867,0.412334949,-16.188,0.0,0.25,0.0,0.75,B2_MULTI_162_A_Ru75_Al25_B_HfZr,0.375,0.25,0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005091276,-0.005091276,,-0.0106851199972856,0.0001271205703122,,0.00011382535055,-0.0106851199972856,-0.870739064,-7649.781527512113,4.8458293461967755e-05,0.870739064,17968.83467808034,2014.860591626289,0.0106851199972856,1801.1581916805771,1528.008191680577,0.0001141717893563926,1.2199392695778698e-06,2.356083576199392,1801.158220535953,1528.0082205359531
Mo75-V25,B2_PENALTY_127_Ru75Al25_Ti,-0.002735626,3.10818653,3.09969531,-0.88819063,5.375,0.04282596,1.7992,0.314533559,-11.248,0.75,0.0,0.25,0.0,B2_PENALTY_127_Ru75Al25_Ti,0.375,0.0,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.089033116,-0.089033116,,-0.0027356255221506,0.000121739023726,,8.39599492769963e-05,-0.0027356255221506,-0.799157514,-9518.31820864328,4.8458293461967755e-05,0.799157514,16491.656162576477,1849.2233184804422,0.0027356255221506,1794.5108080374303,1521.3608080374302,7.483646997441742e-06,2.0472455724967336e-08,0.15443480285403044,1794.5108910894226,1521.3608910894227
Mo75-V25,B2_PENALTY_139_Ru75Si25_Ti,-0.008444372,3.10818653,3.0820502,-0.93611645,5.5,0.071965596,1.834,0.30764265,-6.1408,0.75,0.0,0.25,0.0,B2_PENALTY_139_Ru75Si25_Ti,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.089033116,-0.089033116,,-0.0084443717227596,0.0001217221112586,,8.39599492769963e-05,-0.0084443717227596,-0.847083334,-10089.135847442532,4.8458293461967755e-05,0.847083334,17480.667879169723,1960.1220366288853,0.0084443717227596,1791.2346021736932,1518.0846021736934,7.130741379214192e-05,6.021463086494811e-07,1.4715213578065267,1791.2346458488328,1518.0846458488327
Nb75-Mo25,B2_PENALTY_118_Ru75Cu25_Hf,-0.011963891,3.27521311,3.236261822,-0.923389889,6.375,0.088438935,1.714,0.423797121,-13.5888,0.25,0.0,0.0,0.75,B2_PENALTY_118_Ru75Cu25_Hf,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,-0.051633618,-0.051633618,,-0.0119638909484479,0.0001172975776434,,8.39599492769963e-05,-0.0119638909484479,-0.871756271,-10383.0014013461,4.8458293461967755e-05,0.871756271,17989.826069384664,2017.2143740423564,0.0119638909484479,1777.9365550733985,1504.7865550733986,0.0001431346866263536,1.7124477817379583e-06,2.9537706840355846,1777.9365738321758,1504.7865738321757
Ta50-V50,B2_TERN_SOL_087_Ru_Hf75_V25,0.006872166,3.15902895,3.180813173,-0.946727169,6.125,0.081395156,1.7896,0.422326698,-11.88,0.0,0.5,0.5,0.0,B2_TERN_SOL_087_Ru_Hf75_V25,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.072084764,0.072084764,,0.0068721657660748,0.0001227260260871,,8.39599492769963e-05,0.0068721657660748,-1.018811933,-12134.499148383102,5.9730802546012426e-05,1.018811933,17056.726003558695,1912.5850764635836,0.0068721657660748,1775.1417611420875,1501.9917611420874,4.722666231641045e-05,3.245494520168107e-07,0.7906584258604317,1775.1418146973174,1501.9918146973173
Nb75-Ta25,B2_PENALTY_156_Ru75Si25_Zr,-0.010196845,3.31909493,3.285422312,-0.857108746,5.5,0.109630837,1.729,0.409156449,-12.2208,0.0,0.25,0.0,0.75,B2_PENALTY_156_Ru75Si25_Zr,0.375,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.005091276,-0.005091276,,-0.0101968446038314,0.0001239424433767,,8.39599492769963e-05,-0.0101968446038314,-0.8520174699999999,-10147.903581850296,4.8458293461967755e-05,0.8520174699999999,17582.490201985787,1971.5394595873258,0.0101968446038314,1767.6025675106978,1494.452567510698,0.00010397563987468554,1.0602234423861042e-06,2.145672751688837,1767.6025978139533,1494.4525978139532
Mo75-Ta25,B2_MULTI_170_A_Ru75_Al25_B_ZrAl,-0.001796682,3.18583421,3.180115415,-0.885427863,5.125,0.069992928,1.762673267,0.356461963,-18.02960494,0.75,0.25,0.0,0.0,B2_MULTI_170_A_Ru75_Al25_B_ZrAl,0.375,0.0,0.0,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10728083,-0.10728083,,-0.0017966824548976,0.0001263670477876,,9.325639537147706e-05,-0.0017966824548976,-0.778147033,-8344.168031590038,4.8458293461967755e-05,0.778147033,16058.077522080399,1800.6057797386488,0.0017966824548976,1764.6721306406969,1491.522130640697,3.2280678437368666e-06,5.799812858061156e-09,0.06661538434634309,1764.6722184453574,1491.5222184453573
Mo25-Ta75,B2_MULTI_162_A_Ru75_Al25_B_HfZr,0.005940563,3.26436851,3.283818469,-0.87583034,5.375,0.079687323,1.6867,0.412334949,-16.188,0.25,0.75,0.0,0.0,B2_MULTI_162_A_Ru75_Al25_B_HfZr,0.375,0.25,0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,0.0059405631092623,0.0001273831388256,,0.00011382535055,0.0059405631092623,-0.809417805,-7111.050403876679,4.8458293461967755e-05,0.809417805,16703.390630858008,1872.9652830358743,0.0059405631092623,1754.1540208506283,1481.0040208506284,3.5290290055128166e-05,2.0964419521666059e-07,0.7282610990588344,1754.1540796103939,1481.004079610394
Mo75-Ta25,B2_MULTI_164_A_Ru75_Al25_B_HfAl,-0.007871524,3.18583421,3.160855152,-0.932800309,5.125,0.064725798,1.755247525,0.365593493,-16.91206744,0.75,0.25,0.0,0.0,B2_MULTI_164_A_Ru75_Al25_B_HfAl,0.375,0.25,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10728083,-0.10728083,,-0.0078715237426173,0.0001263348569457,,9.325639537147706e-05,-0.0078715237426173,-0.825519479,-8852.148699417663,4.8458293461967755e-05,0.825519479,17035.66964544273,1910.2240092641184,0.0078715237426173,1752.7935344117725,1479.6435344117726,6.196088603058786e-05,4.877265855033768e-07,1.278643584079525,1752.793579838156,1479.6435798381558
Nb75-V25,B2_TERN_SOL_085_Ru_Hf75_W25,-0.0146618,3.24817106,3.200893611,-0.836868509,6.25,0.078536263,1.8772,0.454612098,-12.84,0.0,0.0,0.25,0.75,B2_TERN_SOL_085_Ru_Hf75_W25,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.046009832,0.046009832,,-0.0146618002491419,0.0001206006045303,,8.39599492769963e-05,-0.0146618002491419,-0.882878341,-10515.47015693463,4.8458293461967755e-05,0.882878341,18219.344469753614,2042.9504659059335,0.0146618002491419,1749.7144609230954,1476.5644609230953,0.0002149683865457375,3.1518235434139264e-06,4.436152641538117,1749.714459559032,1476.564459559032
