B2_Name,a_B2,a_BCC,Pred_Misfit,Pred_Energy,Misfit,B2_Ru,B2_Hf,B2_Ti,B2_Al,B2_Zr,B2_Mo,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb,Design_Window
B2_PENALTY_114_Ru75Cr25_Hf,3.225424668,3.02092873,0.06743574968000017,-0.878162691,0.065476903,0.375,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_115_Ru62Cr37_Hf,2.556723432,3.02092873,-0.16550099729499973,-0.716377173,-0.166451863,0.3125,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_116_Ru50Cr50_Hf,4.053567315,3.02092873,0.29290404931242897,-0.5527963570000015,0.291932762,0.25,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_117_Ru87Cu12_Hf,2.569438099,3.02092873,-0.16341777546499983,-1.0451929749999984,-0.16152451,0.4375,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_118_Ru75Cu25_Hf,3.236261822,3.02092873,0.06918089304812514,-0.9233898889999995,0.068827404,0.375,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_119_Ru62Cu37_Hf,2.568274935,3.02092873,-0.16371129567500023,-0.7996843589999976,-0.161974343,0.3125,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_120_Ru50Cu50_Hf,4.076680397,3.02092873,0.2963926006369292,-0.6773582790000026,0.297495015,0.25,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_121_Ru87Si12_Hf,2.574158138,3.02092873,-0.16254854199500038,-1.089550642000004,-0.159701039,0.4375,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_122_Ru75Si25_Hf,3.248412429,3.02092873,0.07129617814479185,-1.0097945739701244,0.072570209,0.375,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_123_Ru62Si37_Hf,2.583127124,3.02092873,-0.15854383769500033,-0.9206944270000007,-0.156244555,0.3125,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_124_Ru50Si50_Hf,4.107906653,3.02092873,0.2988246922988097,-0.8383272110000037,0.304952454,0.25,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_125_Ru100Al0_Ti,4.881705796,3.02092873,0.12067178621316668,-1.053187662630803,0.470925755,0.5,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_126_Ru87Al12_Ti,2.450404438,3.02092873,-0.21530115161999996,-0.9702671740000048,-0.208550375,0.4375,0.0,0.5,0.0625,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_127_Ru75Al25_Ti,3.09969531,3.02092873,0.02158554297000006,-0.8881906299999975,0.025738088,0.375,0.0,0.5,0.125,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_128_Ru62Al37_Ti,2.471374896,3.02092873,-0.20482565277999978,-0.8044402650000002,-0.200117791,0.3125,0.0,0.5,0.1875,0.0,0.0,0.25,0.0,0.75,0.0,none
