BCC_Name,B2_Name,Misfit,a_BCC,a_B2,B2_Formation_Energy,B2_VEC,B2_delta_r,B2_chi_avg,B2_delta_chi,B2_Hmix,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb,B2_Name.1,B2_Ru,B2_Hf,B2_Ti,B2_Zr,B2_Al,B2_Mo,B2_Nb,B2_Ta,B2_W,B2_V,B2_Cr,B2_Cu,B2_Si,BCC_formation_energy_per_atom_from_BCC,BCC_formation_energy_eV_per_atom_calc,DeltaE_B2_minus_BCC_eV_per_atom,lattice_misfit_delta,S_conf_eV_per_K,Ts_star_K_simple,S_conf_eV_per_K_fixed,lattice_misfit_delta_fixed,DeltaE_B2_minus_BCC_eV_per_atom_fixed,Ts_star_K_simple_fixed
Mo25-Ta75,MATRIX_BIN_044_Mo25_W75,-0.03029747,3.26436851,3.166942287,-0.031021756,6.0,0.0,2.31,0.08660254,-0.75,0.25,0.75,0.0,0.0,MATRIX_BIN_044_Mo25_W75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.0302974700104515,0.0001078501579861,,4.8458293461967755e-05,-0.03029747001045151,0.035390779,730.3348193179
Mo25-Ta75,MATRIX_BIN_045_Mo50_W50,0.198613844,3.26436851,3.984201707,-0.031400886,6.0,0.0,2.26,0.1,-1.0,0.25,0.75,0.0,0.0,MATRIX_BIN_045_Mo50_W50,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,0.1986138439582973,0.0001092238308473,,5.9730802546012426e-05,0.19861384395829734,0.03501164899999999,586.157351109245
Mo25-Ta75,MATRIX_BIN_046_Mo75_W25,-0.033259806,3.26436851,3.157572258,-0.029765179,6.0,0.0,2.21,0.08660254,-0.75,0.25,0.75,0.0,0.0,MATRIX_BIN_046_Mo75_W25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.033259805986426,0.0001076228577131,,4.8458293461967755e-05,-0.03325980598642609,0.03664735599999999,756.2659223392272
Mo25-Ta75,MATRIX_BIN_047_Mo87_W12,-0.26363714,3.26436851,2.503991537,-0.029998622,6.0,0.0,2.184,0.064992307,-0.4224,0.25,0.75,0.0,0.0,MATRIX_BIN_047_Mo87_W12,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.125,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.2636371401245856,0.0001053178388307,,3.246754042778828e-05,-0.2636371401245856,0.03641391299999999,1121.5482454234227
Mo25-Ta75,MATRIX_BIN_048_Mo12_V87,-0.312122522,3.26436851,2.383028597,-0.006338223,5.125,0.01207138,1.6936,0.172229614,-0.4224,0.25,0.75,0.0,0.0,MATRIX_BIN_048_Mo12_V87,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.875,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.3121225216861663,0.0001132631187965,,3.246754042778828e-05,-0.31212252168616633,0.060074312,1850.2883559539257
Mo25-Ta75,MATRIX_BIN_049_Mo25_V75,-0.076728586,3.26436851,3.023152221,-0.037424369,5.25,0.016007863,1.7625,0.229496732,-0.75,0.25,0.75,0.0,0.0,MATRIX_BIN_049_Mo25_V75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.0767285864556141,0.0001158873941734,,4.8458293461967755e-05,-0.07672858645561419,0.028988165999999996,598.2085609917569
Mo25-Ta75,MATRIX_BIN_050_Mo50_V50,0.167606576,3.26436851,3.861543353,-0.097449414,5.5,0.018315018,1.895,0.265,-1.0,0.25,0.75,0.0,0.0,MATRIX_BIN_050_Mo50_V50,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.066412535,-0.066412535,,0.1676065756863262,0.0001165062678091,,5.9730802546012426e-05,0.16760657568632625,-0.031036879000000003,-519.6126232539964
Mo25-Ta75,MATRIX_BIN_051_Mo75_V25,-0.049235368,3.26436851,3.107507677,-0.114008179,5.75,0.015717339,2.0275,0.229496732,-0.75,0.25,0.75,0.0,0.0,MATRIX_BIN_051_Mo75_V25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.0492353675421471,0.0001131319445665,,4.8458293461967755e-05,-0.049235367542147156,-0.047595644000000006,-982.1981047961419
Mo25-Ta75,MATRIX_BIN_052_Mo87_V12,-0.271330432,3.26436851,2.484453351,-0.088360288,5.875,0.01173994,2.0964,0.172229614,-0.4224,0.25,0.75,0.0,0.0,MATRIX_BIN_052_Mo87_V12,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.125,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.2713304318197589,0.0001094409350058,,3.246754042778828e-05,-0.27133043181975897,-0.021947753,-675.9906266634039
Mo25-Ta75,MATRIX_BIN_053_Ta12_W87,-0.254116801,3.26436851,2.528354403,-0.093051999,5.875,0.016266667,2.2568,0.279466921,-0.4224,0.25,0.75,0.0,0.0,MATRIX_BIN_053_Ta12_W87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0,0.0,-0.066412535,-0.066412535,,-0.2541168007011836,0.0001123024287337,,3.246754042778828e-05,-0.2541168007011836,-0.026639464,-820.4952900343461
