B2_Name,a_B2,a_BCC,Pred_Misfit,Pred_Energy,Misfit,B2_Ru,B2_Hf,B2_Ti,B2_Al,B2_Zr,B2_Mo,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb,Design_Window
B2_PENALTY_132_Ru62Cr37_Ti,2.424470344,3.02092873,-0.22020382987000062,-0.6756799220000004,-0.219068751,0.3125,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_133_Ru50Cr50_Ti,3.839681408,3.02092873,0.2394637908599996,-0.5380779740000005,0.238682176,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_134_Ru87Cu12_Ti,2.441297595,3.02092873,-0.21372971862500012,-0.9197299369999997,-0.212232559,0.4375,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_135_Ru75Cu25_Ti,3.074675013,3.02092873,0.01519765638500002,-0.8017171889999983,0.017634441,0.375,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,secondary_2pct
B2_PENALTY_136_Ru62Cu37_Ti,2.440175866,3.02092873,-0.21775163886,-0.6806409090000018,-0.212686959,0.3125,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_137_Ru50Cu50_Ti,3.872743044,3.02092873,0.24427063790250045,-0.5577977589999992,0.24712935,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_138_Ru87Si12_Ti,2.443848687,3.02092873,-0.21335999816999948,-0.989505901999998,-0.211199834,0.4375,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_139_Ru75Si25_Ti,3.0820502,3.02092873,0.017266590879999984,-0.9361164499999955,0.020030045,0.375,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,secondary_2pct
B2_PENALTY_140_Ru62Si37_Ti,2.448470295,3.02092873,-0.21291380652000022,-0.8697570390000041,-0.209331384,0.3125,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_PENALTY_141_Ru50Si50_Ti,3.890404933,3.02092873,0.2479397824424991,-0.808674346999996,0.251608805,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_MULTI_159_A_Ru87_Al12_B_HfTi,2.518380484,3.02092873,-0.18669085963499976,-0.9951158348858226,-0.181447984,0.4375,0.25,0.25,0.0625,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.02092873,0.05151182107999992,-0.9000343030000024,0.053329622,0.375,0.25,0.25,0.125,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_MULTI_161_A_Ru87_Al12_B_HfZr,2.593983772,3.02092873,-0.15406981623499974,-0.9668944039999964,-0.152075374,0.4375,0.25,0.0,0.0625,0.25,0.0,0.25,0.0,0.75,0.0,none
B2_MULTI_162_A_Ru75_Al25_B_HfZr,3.283818469,3.02092873,0.08181976937500018,-0.8758682595082984,0.08339422,0.375,0.25,0.0,0.125,0.25,0.0,0.25,0.0,0.75,0.0,none
B2_MULTI_163_A_Ru87_Al12_B_HfAl,2.495293785,3.02092873,-0.21897931542500018,-4.954411073999979,-0.190577861,0.25,0.0625,0.0,0.1875,0.0,0.0,0.25,0.0,0.75,0.0,none
B2_MULTI_163_A_Ru87_Al13_B_HfAl,2.494957013,3.02092873,-0.195722160485,-1.042495012961614,-0.190711607,0.4375,0.25,0.0,0.3125,0.0,0.0,0.25,0.0,0.75,0.0,none
