category,alloy_name,x_Al,x_Cr,x_Cu,x_Hf,x_Mo,x_Nb,x_Ru,x_Si,x_Ta,x_Ti,x_V,x_W,x_Zr,natoms,E_total_eV,E_per_atom_eV,E_form_per_atom_eV,volume_A3,volume_per_atom_A3,Ru_at_frac,vec_avg,radius_avg,vol_avg,delta_r,chi_avg,delta_chi,Hmix_kJmol
04_Matrix_Ternaries,MATRIX_TERN_073_Nb33_W33_V33,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,9,-96.39645146,-10.710716828888888,-0.30774769222222176,134.05949999999987,14.895499999999986,0.0,5.333333333333333,1.3966666666666665,15.733333333333334,0.035238241193874476,1.8633333333333333,0.35140985883849196,-1.3333333333333333
04_Matrix_Ternaries,MATRIX_TERN_074_Mo33_Ta33_W33,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,9,-107.36410264,-11.929344737777777,-0.2338407511111118,134.05950000000024,14.895500000000027,0.0,5.666666666666666,1.413333333333333,16.466666666666665,0.023347865416536953,2.006666666666667,0.36745370078721784,-1.7777777777777777
04_Matrix_Ternaries,MATRIX_TERN_075_Mo33_Ta33_V33,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,9,-95.96570959,-10.66285662111111,-0.250955221111111,134.05950000000024,14.895500000000027,0.0,5.333333333333333,1.3966666666666665,15.666666666666666,0.03523824119387447,1.7633333333333332,0.2854625875467553,-1.3333333333333333
04_Matrix_Ternaries,MATRIX_TERN_076_Mo33_W33_V33,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,9,-99.43423866,-11.04824874,-0.17993089333333323,134.05949999999999,14.895499999999998,0.0,5.666666666666666,1.373333333333333,14.933333333333334,0.017162785951129734,2.05,0.30800432897390695,-0.8888888888888888
04_Matrix_Ternaries,MATRIX_TERN_077_Ta33_W33_V33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,9,-101.76632551,-11.307369501111111,-0.2580613844444457,134.05949999999987,14.895499999999986,0.0,5.333333333333333,1.3966666666666665,15.733333333333334,0.035238241193874476,1.8299999999999998,0.3785058343892028,-0.4444444444444444
05_B2_Ternaries_Solubility,B2_TERN_SOL_078_Ru_Hf87_Nb12,0.0,0.0,0.0,0.4375,0.0,0.0625,0.5,0.0,0.0,0.0,0.0,0.0,0.0,16,-162.18942406,-10.13683900375,-1.509992525625,238.32800000000015,14.895500000000009,0.5,6.0625,1.4525000000000001,17.78125,0.07982594578523391,1.7687500000000003,0.43691925741491416,-14.078125
05_B2_Ternaries_Solubility,B2_TERN_SOL_079_Ru_Hf75_Nb25,0.0,0.0,0.0,0.375,0.0,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,16,-161.22248462,-10.07640528875,-1.3883681374999988,238.32800000000015,14.895500000000009,0.5,6.125,1.4450000000000003,17.512500000000003,0.07698475938161588,1.7875,0.42260353760942426,-13.0625
05_B2_Ternaries_Solubility,B2_TERN_SOL_080_Ru_Hf87_Mo12,0.0,0.0,0.0,0.4375,0.0625,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,16,-162.10869964,-10.1317937275,-1.4176943662500001,238.32800000000015,14.895500000000009,0.5,6.125,1.448125,17.63125,0.08072396608079238,1.8037500000000002,0.4443657699463361,-14.125
05_B2_Ternaries_Solubility,B2_TERN_SOL_081_Ru_Hf75_Mo25,0.0,0.0,0.0,0.375,0.125,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,16,-161.16268425,-10.072667765625,-1.2101248481250018,238.32799999999992,14.895499999999995,0.5,6.25,1.4362500000000002,17.212500000000002,0.07830480237963841,1.8575000000000002,0.4320228581915545,-13.25
05_B2_Ternaries_Solubility,B2_TERN_SOL_082_Ru_Hf87_Ta12,0.0,0.0,0.0,0.4375,0.0,0.0,0.5,0.0,0.0625,0.0,0.0,0.0,0.0,16,-164.41841165,-10.276150728125,-1.5281156912499991,238.32800000000015,14.895500000000009,0.5,6.0625,1.4525000000000001,17.78125,0.07982594578523391,1.7625000000000002,0.4399928976699511,-13.625
05_B2_Ternaries_Solubility,B2_TERN_SOL_083_Ru_Hf75_Ta25,0.0,0.0,0.0,0.375,0.0,0.0,0.5,0.0,0.125,0.0,0.0,0.0,0.0,16,-165.56519059,-10.347824411875,-1.4174101431250001,238.32800000000015,14.895500000000009,0.5,6.125,1.4450000000000003,17.512500000000003,0.07698475938161588,1.7750000000000001,0.4293891009329418,-12.25
05_B2_Ternaries_Solubility,B2_TERN_SOL_084_Ru_Hf87_W12,0.0,0.0,0.0,0.4375,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0625,0.0,16,-164.22814338,-10.26425896125,-1.4306458406250009,238.32800000000015,14.895500000000009,0.5,6.125,1.448125,17.64375,0.08072396608079238,1.8162500000000001,0.45684892196436233,-13.875
05_B2_Ternaries_Solubility,B2_TERN_SOL_085_Ru_Hf75_W25,0.0,0.0,0.0,0.375,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.125,0.0,16,-165.32742933,-10.332964333125,-1.2313938968749998,238.32799999999992,14.895499999999995,0.5,6.25,1.4362500000000002,17.2375,0.07830480237963841,1.8825,0.4540305606454262,-12.75
05_B2_Ternaries_Solubility,B2_TERN_SOL_086_Ru_Hf87_V12,0.0,0.0,0.0,0.4375,0.0,0.0,0.5,0.0,0.0,0.0,0.0625,0.0,0.0,16,-161.46983002,-10.09186437625,-1.4989267406249986,238.32800000000015,14.895500000000009,0.5,6.0625,1.445,17.49375,0.0823936394449181,1.7706250000000001,0.43625492475730293,-13.375
05_B2_Ternaries_Solubility,B2_TERN_SOL_087_Ru_Hf75_V25,0.0,0.0,0.0,0.375,0.0,0.0,0.5,0.0,0.0,0.0,0.125,0.0,0.0,16,-159.77264357,-9.985790223125,-1.3655707568750017,238.32799999999972,14.895499999999982,0.5,6.125,1.4300000000000002,16.9375,0.08125139887148426,1.7912500000000002,0.42105336657008224,-11.75
05_B2_Ternaries_Solubility,B2_TERN_SOL_088_Ru_Ti87_Nb12,0.0,0.0,0.0,0.0,0.0,0.0625,0.5,0.0,0.0,0.4375,0.0,0.0,0.0,16,-148.73597223,-9.295998264375,-1.0659885981249992,238.32800000000015,14.895500000000009,0.5,6.0625,1.404375,15.76875,0.045869131623880455,1.8737500000000002,0.3265515847458102,-9.59375
05_B2_Ternaries_Solubility,B2_TERN_SOL_089_Ru_Ti75_Nb25,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.0,0.0,0.375,0.0,0.0,0.0,16,-149.87438271,-9.367148919375,-1.0192576068749997,238.32799999999992,14.895499999999995,0.5,6.125,1.40375,15.7875,0.0454664199865351,1.8775000000000002,0.3230228320103705,-9.125
05_B2_Ternaries_Solubility,B2_TERN_SOL_090_Ru_Ti87_Mo12,0.0,0.0,0.0,0.0,0.0625,0.0,0.5,0.0,0.0,0.4375,0.0,0.0,0.0,16,-148.48610272,-9.28038142,-0.9631188706249993,238.32800000000015,14.895500000000009,0.5,6.125,1.4,15.61875,0.04489216103563043,1.9087500000000002,0.32534356840115963,-9.75
05_B2_Ternaries_Solubility,B2_TERN_SOL_091_Ru_Ti75_Mo25,0.0,0.0,0.0,0.0,0.125,0.0,0.5,0.0,0.0,0.375,0.0,0.0,0.0,16,-149.36881212,-9.3355507575,-0.81315367875,238.32800000000015,14.895500000000009,0.5,6.25,1.395,15.487499999999999,0.04315983719997233,1.9475000000000002,0.3159014878090954,-9.5
05_B2_Ternaries_Solubility,B2_TERN_SOL_092_Ru_Ti87_Ta12,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0625,0.4375,0.0,0.0,0.0,16,-150.95700895,-9.434813059375,-1.083614834375,238.32800000000015,14.895500000000009,0.5,6.0625,1.404375,15.76875,0.045869131623880455,1.8675000000000002,0.33263155292305036,-9.25
05_B2_Ternaries_Solubility,B2_TERN_SOL_093_Ru_Ti75_Ta25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.125,0.375,0.0,0.0,0.0,16,-154.27901404,-9.6424383775,-1.0521699474999995,238.32799999999992,14.895499999999995,0.5,6.125,1.40375,15.7875,0.0454664199865351,1.8650000000000002,0.33522380583723477,-8.5
05_B2_Ternaries_Solubility,B2_TERN_SOL_094_Ru_Ti87_W12,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.4375,0.0,0.0625,0.0,16,-150.72964719,-9.420602949375,-0.9838266406250007,238.32800000000015,14.895500000000009,0.5,6.125,1.4,15.631250000000001,0.04489216103563043,1.9212500000000001,0.33833923434919577,-9.5
05_B2_Ternaries_Solubility,B2_TERN_SOL_095_Ru_Ti75_W25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.375,0.0,0.125,0.0,16,-153.86366964,-9.6164793525,-0.8550547550000012,238.32800000000015,14.895500000000009,0.5,6.25,1.395,15.5125,0.04315983719997233,1.9725000000000001,0.3388122636505355,-9.0
05_B2_Ternaries_Solubility,B2_TERN_SOL_096_Ru_Ti87_V12,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.4375,0.0625,0.0,0.0,16,-147.49317612,-9.2183235075,-1.02222268375,238.32800000000015,14.895500000000009,0.5,6.0625,1.3968749999999999,15.481250000000001,0.04616747254206669,1.875625,0.3250570863325395,-9.0
05_B2_Ternaries_Solubility,B2_TERN_SOL_097_Ru_Ti75_V25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.375,0.125,0.0,0.0,16,-147.44572911,-9.215358069375,-0.9352844418749999,238.32799999999992,14.895499999999995,0.5,6.125,1.38875,15.2125,0.045318436994326215,1.88125,0.3199389590218735,-8.0
05_B2_Ternaries_Solubility,B2_TERN_SOL_098_Ru_Zr87_Nb12,0.0,0.0,0.0,0.0,0.0,0.0625,0.5,0.0,0.0,0.0,0.0,0.0,0.4375,16,-148.02758941,-9.251724338125,-1.2180455881249994,238.32800000000015,14.895500000000009,0.5,6.0625,1.4612500000000002,18.21875,0.08594856903506175,1.7818750000000003,0.4228655038839182,-16.703125
05_B2_Ternaries_Solubility,B2_TERN_SOL_099_Ru_Zr75_Nb25,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.375,16,-149.08582073,-9.317863795625,-1.1382561256250003,238.32799999999992,14.895499999999995,0.5,6.125,1.4525000000000001,17.887500000000003,0.08288467557889503,1.79875,0.40967784599609486,-15.3125
05_B2_Ternaries_Solubility,B2_TERN_SOL_100_Ru_Zr87_Mo12,0.0,0.0,0.0,0.0,0.0625,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.4375,16,-148.03559825,-9.252224890625,-1.1312932574999994,238.32800000000015,14.895500000000009,0.5,6.125,1.4568750000000001,18.06875,0.08701732015536008,1.8168750000000002,0.42948688498602616,-16.75
05_B2_Ternaries_Solubility,B2_TERN_SOL_101_Ru_Zr75_Mo25,0.0,0.0,0.0,0.0,0.125,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.375,16,-149.1851952,-9.3240747,-0.969961263750001,238.32800000000034,14.895500000000022,0.5,6.25,1.44375,17.587500000000002,0.0845431381750008,1.8687500000000001,0.4175056137347138,-15.5
