B2_Name,a_B2,a_BCC,Pred_Misfit,Pred_Energy,Misfit,B2_Ru,B2_Hf,B2_Ti,B2_Al,B2_Zr,B2_Mo,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb
B2_PENALTY_118_Ru75Cu25_Hf,3.236261822,3.23145248,0.002027901084999996,-0.9233898889999995,0.001487184,0.375,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
B2_PENALTY_122_Ru75Si25_Hf,3.248412429,3.23145248,0.004782168870000007,-1.0097945739701244,0.005234661,0.375,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
B2_PENALTY_144_Ru75Al25_Zr,3.302387941,3.23145248,0.01916504386000002,-0.7979355870000012,0.021713252,0.375,0.0,0.0,0.125,0.5,0.0,0.5,0.0,0.0,0.5
B2_PENALTY_148_Ru75Cr25_Zr,3.262005664,3.23145248,0.009115891899999987,-0.6758889759999992,0.009410451,0.375,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5
B2_PENALTY_152_Ru75Cu25_Zr,3.273069781,3.23145248,0.01287193723666664,-0.7449165740000009,0.01279642,0.375,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5
B2_PENALTY_156_Ru75Si25_Zr,3.285422312,3.23145248,0.009756372718333324,-0.8575769708067681,0.016563102,0.375,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.23145248,-0.013022785835,-0.9000343030000024,-0.014024913,0.375,0.25,0.25,0.125,0.0,0.0,0.5,0.0,0.0,0.5
B2_MULTI_162_A_Ru75_Al25_B_HfZr,3.283818469,3.23145248,0.016038891054999987,-0.8758682595082984,0.016074846,0.375,0.25,0.0,0.125,0.25,0.0,0.5,0.0,0.0,0.5
B2_MULTI_166_A_Ru75_Al25_B_TiZr,3.206361714,3.23145248,-0.007588410199999987,-0.808063227,-0.007794809,0.375,0.0,0.25,0.125,0.25,0.0,0.5,0.0,0.0,0.5
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.23145248,-0.017929853845000013,-0.8854183384772708,-0.016013888,0.375,0.0,0.0,0.375,0.25,0.0,0.5,0.0,0.0,0.5
B2_PENALTY_110_Ru75Al25_Hf,3.264770933,3.31693148,-0.016347130770138905,-0.9557422499999952,-0.015850169,0.375,0.5,0.0,0.125,0.0,0.0,0.0,0.5,0.0,0.5
B2_PENALTY_144_Ru75Al25_Zr,3.302387941,3.31693148,-0.004123176989999992,-0.7979355870000012,-0.00439427,0.375,0.0,0.0,0.125,0.5,0.0,0.0,0.5,0.0,0.5
B2_PENALTY_148_Ru75Cr25_Zr,3.262005664,3.31693148,-0.01569764004519841,-0.6758889759999992,-0.016697474,0.375,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5
B2_PENALTY_152_Ru75Cu25_Zr,3.273069781,3.31693148,-0.00998062582928573,-0.7449165740000009,-0.01331159,0.375,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5
B2_PENALTY_156_Ru75Si25_Zr,3.285422312,3.31693148,-0.01030101847553571,-0.8575769708067681,-0.009544829,0.375,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5
B2_MULTI_162_A_Ru75_Al25_B_HfZr,3.283818469,3.31693148,-0.009043420444999976,-0.8758682595082984,-0.010033106,0.375,0.25,0.0,0.125,0.25,0.0,0.0,0.5,0.0,0.5
B2_PENALTY_127_Ru75Al25_Ti,3.09969531,3.16642062,-0.01700432199000002,-0.8881906299999975,-0.021297183,0.375,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.5,0.5
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.16642062,0.00932952967250001,-0.9000343030000024,0.006304748,0.375,0.25,0.25,0.125,0.0,0.0,0.0,0.0,0.5,0.5
B2_MULTI_164_A_Ru75_Al25_B_HfAl,3.160855152,3.16642062,0.00081328416,-0.9328003089999964,-0.001759199,0.375,0.25,0.0,0.375,0.0,0.0,0.0,0.0,0.5,0.5
B2_MULTI_166_A_Ru75_Al25_B_TiZr,3.206361714,3.16642062,0.014411306394999952,-0.808063227,0.0125349,0.375,0.0,0.25,0.125,0.25,0.0,0.0,0.0,0.5,0.5
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.16642062,0.005558209864999993,-0.8854183384772708,0.004315675,0.375,0.0,0.0,0.375,0.25,0.0,0.0,0.0,0.5,0.5
B2_PENALTY_110_Ru75Al25_Hf,3.264770933,3.27521311,-0.003739867916666665,-0.9557422499999952,-0.003193334,0.375,0.5,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.75
B2_PENALTY_114_Ru75Cr25_Hf,3.225424668,3.27521311,-0.008953846326666667,-0.878162691,-0.015318018,0.375,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75
B2_PENALTY_118_Ru75Cu25_Hf,3.236261822,3.27521311,-0.00993441240666665,-0.9233898889999995,-0.011963891,0.375,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75
B2_PENALTY_122_Ru75Si25_Hf,3.248412429,3.27521311,-0.0058252779016666634,-1.0097945739701244,-0.008216499,0.375,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75
B2_PENALTY_144_Ru75Al25_Zr,3.302387941,3.27521311,0.007313640789999997,-0.7979355870000012,0.00826284,0.375,0.0,0.0,0.125,0.5,0.0,0.25,0.0,0.0,0.75
B2_PENALTY_148_Ru75Cr25_Zr,3.262005664,3.27521311,-0.002825962776666663,-0.6758889759999992,-0.004040693,0.375,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.75
B2_PENALTY_152_Ru75Cu25_Zr,3.273069781,3.27521311,0.0034040510699999975,-0.7449165740000009,-0.000654623,0.375,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.75
B2_PENALTY_156_Ru75Si25_Zr,3.285422312,3.27521311,0.0013476945683333324,-0.8575769708067681,0.00311226,0.375,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.75
B2_MULTI_162_A_Ru75_Al25_B_HfZr,3.283818469,3.27521311,0.0035204221974999912,-0.8758682595082984,0.002623972,0.375,0.25,0.0,0.125,0.25,0.0,0.25,0.0,0.0,0.75
B2_MULTI_166_A_Ru75_Al25_B_TiZr,3.206361714,3.27521311,-0.01963960641000002,-0.808063227,-0.021245268,0.375,0.0,0.25,0.125,0.25,0.0,0.25,0.0,0.0,0.75
B2_PENALTY_110_Ru75Al25_Hf,3.264770933,3.31909493,-0.016621036376805568,-0.9557422499999952,-0.016502158,0.375,0.5,0.0,0.125,0.0,0.0,0.0,0.25,0.0,0.75
B2_PENALTY_144_Ru75Al25_Zr,3.302387941,3.31909493,-0.003221438689999996,-0.7979355870000012,-0.005046298,0.375,0.0,0.0,0.125,0.5,0.0,0.0,0.25,0.0,0.75
B2_PENALTY_148_Ru75Cr25_Zr,3.262005664,3.31909493,-0.0159629350168651,-0.6758889759999992,-0.017349459,0.375,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.75
B2_PENALTY_152_Ru75Cu25_Zr,3.273069781,3.31909493,-0.008366853509285725,-0.7449165740000009,-0.013963592,0.375,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.75
B2_PENALTY_156_Ru75Si25_Zr,3.285422312,3.31909493,-0.010308749210535715,-0.8575769708067681,-0.010196845,0.375,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.75
B2_MULTI_162_A_Ru75_Al25_B_HfZr,3.283818469,3.31909493,-0.007747055464999988,-0.8758682595082984,-0.01068512,0.375,0.25,0.0,0.125,0.25,0.0,0.0,0.25,0.0,0.75
B2_PENALTY_110_Ru75Al25_Hf,3.264770933,3.24817106,0.0029488185570833297,-0.9557422499999952,0.005097504,0.375,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.25,0.75
B2_PENALTY_114_Ru75Cr25_Hf,3.225424668,3.24817106,-0.004526053442916663,-0.878162691,-0.007027437,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75
B2_PENALTY_118_Ru75Cu25_Hf,3.236261822,3.24817106,-0.0021312465529166684,-0.9233898889999995,-0.003673178,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75
B2_PENALTY_122_Ru75Si25_Hf,3.248412429,3.24817106,-5.51455416666666e-05,-1.0097945739701244,7.43e-05,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75
B2_PENALTY_144_Ru75Al25_Zr,3.302387941,3.24817106,0.012264882869999987,-0.7979355870000012,0.01655336,0.375,0.0,0.0,0.125,0.5,0.0,0.0,0.0,0.25,0.75
B2_PENALTY_148_Ru75Cr25_Zr,3.262005664,3.24817106,0.0032510516383333302,-0.6758889759999992,0.004250147,0.375,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.75
B2_PENALTY_152_Ru75Cu25_Zr,3.273069781,3.24817106,0.007857456980000005,-0.7449165740000009,0.007636191,0.375,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.75
B2_PENALTY_156_Ru75Si25_Zr,3.285422312,3.24817106,0.005969311893333337,-0.8575769708067681,0.011402991,0.375,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.75
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.24817106,-0.01990289832999995,-0.9000343030000024,-0.019184921,0.375,0.25,0.25,0.125,0.0,0.0,0.0,0.0,0.25,0.75
B2_MULTI_162_A_Ru75_Al25_B_HfZr,3.283818469,3.24817106,0.00948812296999998,-0.8758682595082984,0.010914717,0.375,0.25,0.0,0.125,0.25,0.0,0.0,0.0,0.25,0.75
B2_MULTI_166_A_Ru75_Al25_B_TiZr,3.206361714,3.24817106,-0.013198466096249981,-0.808063227,-0.012955034,0.375,0.0,0.25,0.125,0.25,0.0,0.0,0.0,0.25,0.75
B2_PENALTY_127_Ru75Al25_Ti,3.09969531,3.07386981,0.0069522788350000085,-0.8881906299999975,0.008366479,0.375,0.0,0.5,0.125,0.0,0.0,0.0,0.25,0.75,0.0
B2_PENALTY_131_Ru75Cr25_Ti,3.061448806,3.07386981,-0.0031898773949999987,-0.8096196399999966,-0.004049017,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0
B2_PENALTY_135_Ru75Cu25_Ti,3.074675013,3.07386981,-0.0006799075249999998,-0.8017171889999983,0.000261917,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0
B2_PENALTY_139_Ru75Si25_Ti,3.0820502,3.07386981,8.451302999999993e-05,-0.9361164499999955,0.002657731,0.375,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.75,0.0
B2_MULTI_168_A_Ru75_Al25_B_TiAl,3.070901903,3.07386981,-0.0007262972099999987,-0.9413853389999953,-0.000965994,0.375,0.0,0.25,0.375,0.0,0.0,0.0,0.25,0.75,0.0
B2_PENALTY_127_Ru75Al25_Ti,3.09969531,3.15902895,-0.018541363790000046,-0.8881906299999975,-0.018960298,0.375,0.0,0.5,0.125,0.0,0.0,0.0,0.5,0.5,0.0
B2_MULTI_160_A_Ru75_Al25_B_HfTi,3.186447237,3.15902895,0.01031340345250003,-0.9000343030000024,0.008641837,0.375,0.25,0.25,0.125,0.0,0.0,0.0,0.5,0.5,0.0
B2_MULTI_164_A_Ru75_Al25_B_HfAl,3.160855152,3.15902895,0.0026736583300000045,-0.9328003089999964,0.000577923,0.375,0.25,0.0,0.375,0.0,0.0,0.0,0.5,0.5,0.0
B2_MULTI_166_A_Ru75_Al25_B_TiZr,3.206361714,3.15902895,0.015504429669999964,-0.808063227,0.014871912,0.375,0.0,0.25,0.125,0.25,0.0,0.0,0.5,0.5,0.0
B2_MULTI_170_A_Ru75_Al25_B_ZrAl,3.180115415,3.15902895,0.007480917505000014,-0.8854183384772708,0.00665278,0.375,0.0,0.0,0.375,0.25,0.0,0.0,0.5,0.5,0.0
B2_PENALTY_110_Ru75Al25_Hf,3.264770933,3.23816412,0.005910161496428569,-0.9557422499999952,0.008183017,0.375,0.5,0.0,0.125,0.0,0.0,0.0,0.75,0.25,0.0
B2_PENALTY_114_Ru75Cr25_Hf,3.225424668,3.23816412,-0.0034188435230000066,-0.878162691,-0.003941913,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0
B2_PENALTY_118_Ru75Cu25_Hf,3.236261822,3.23816412,0.0007569585764285687,-0.9233898889999995,-0.000587634,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0
B2_PENALTY_122_Ru75Si25_Hf,3.248412429,3.23816412,0.0023411581044999975,-1.0097945739701244,0.003159851,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0
B2_PENALTY_144_Ru75Al25_Zr,3.302387941,3.23816412,0.016791824590000008,-0.7979355870000012,0.019638654,0.375,0.0,0.0,0.125,0.5,0.0,0.0,0.75,0.25,0.0
