alloy_name_alpha,run_folder,natoms,Pct_Al,Pct_Cr,Pct_Cu,Pct_Hf,Pct_Mo,Pct_Nb,Pct_Ru,Pct_Si,Pct_Ta,Pct_Ti,Pct_V,Pct_W,Pct_Zr,total_energy_eV,energy_per_atom_eV,formation_e_per_atom_eV,formation_meV_per_atom,formation_meV_per_formula_unit,formula_unit_atoms,missing_refs,volume_A3,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg,Ru_at_frac,vec_avg,radius_avg,vol_avg,delta_r,chi_avg,delta_chi,Hmix_kJmol
Mo25V75,./03_Matrix_Binaries/MATRIX_BIN_049_Mo25_V75,8,0,0,0,0,25,0,0,0,0,0,75,0,0,-75.99475299,-9.49934412375,-0.03438662125000036,-34.38662125000036,-34.38662125000036,1,,110.51978647398205,5.1837352412498285,5.400539777864985,5.1837352412498285,110.32071184550277,108.60853320175477,110.32071184550277,0.0,5.25,1.3525,13.950000000000001,0.016007863286218792,1.7625,0.22949673200287635,-0.75
Mo50V50,./03_Matrix_Binaries/MATRIX_BIN_050_Mo50_V50,8,0,0,0,0,50,0,0,0,0,0,50,0,0,-80.30116851,-10.03764606375,-0.09130909874999915,-91.30909874999915,-91.30909874999915,1,,115.1629392314766,5.308591379684843,5.308591379684843,5.308591379684843,109.65248260720666,109.38066574763319,109.38066574763319,0.0,5.5,1.365,14.5,0.01831501831501825,1.895,0.2650000000000001,-1.0
Mo75V25,./03_Matrix_Binaries/MATRIX_BIN_051_Mo75_V25,8,0,0,0,0,75,0,0,0,0,0,25,0,0,-84.31510191,-10.53938773875,-0.11167131125000118,-111.67131125000118,-111.67131125000118,1,,120.03188381822244,5.371236078941447,5.371236078941448,5.371236078941448,109.30172208315093,109.30172208315095,109.30172208315095,0.0,5.75,1.3775,15.049999999999999,0.015717339451623145,2.0275,0.22949673200287632,-0.75
Mo88V12,./03_Matrix_Binaries/MATRIX_BIN_052_Mo87_V12,8,0,0,0,0,88,0,0,0,0,0,12,0,0,-86.02644272,-10.75330534,-0.075271592,-75.271592,-75.271592,1,,122.68247449270653,5.421691547575746,5.421691547575746,5.421691547575746,109.47122063449069,109.47122063449069,109.47122063449069,0.0,5.88,1.384,15.336,0.011739939891092408,2.0964,0.17222961417828245,-0.4224
Ta12W88,./03_Matrix_Binaries/MATRIX_BIN_053_Ta12_W87,8,0,0,0,0,0,0,0,0,12,0,0,88,0,-103.48003988,-12.935004985,-0.08722151659999966,-87.22151659999966,-87.22151659999966,1,,129.3015810756829,5.517494497404738,5.517494497404738,5.517494497404738,109.47122063449069,109.47122063449069,109.47122063449069,0.0,5.88,1.3983999999999999,16.064,0.01626666728617038,2.2568,0.279466921119477,-0.4224
Ta25W75,./03_Matrix_Binaries/MATRIX_BIN_054_Ta25_W75,8,0,0,0,0,0,0,0,0,25,0,0,75,0,-102.50187935,-12.81273491875,-0.10651906874999817,-106.51906874999817,-106.51906874999817,1,,130.8010010351205,5.534579691141077,5.551258965455319,5.534579691141077,109.53227996682674,109.41009234555017,109.53227996682674,0.0,5.75,1.4075,16.35,0.021535267589666326,2.145,0.3723909236273086,-0.75
Ta50W50,./03_Matrix_Binaries/MATRIX_BIN_055_Ta50_W50,8,0,0,0,0,0,0,0,0,50,0,0,50,0,-100.00211889,-12.50026486125,-0.06629443125000023,-66.29443125000023,-66.29443125000023,1,,134.67313099727502,5.592864306697421,5.592864306697421,5.592864306697421,109.47243468309992,109.47061361359675,109.47061361359675,0.0,5.5,1.4249999999999998,16.9,0.02456140350877195,1.93,0.42999999999999994,-1.0
Ta75W25,./03_Matrix_Binaries/MATRIX_BIN_056_Ta75_W25,8,0,0,0,0,0,0,0,0,75,0,0,25,0,-97.42269469,-12.17783683625,-0.01611182624999863,-16.11182624999863,-16.11182624999863,1,,139.68252183213045,5.657123458031115,5.657123458031115,5.657123458031115,109.4102199139358,109.4102199139358,109.4102199139358,0.0,5.25,1.4425,17.45,0.02101274809875594,1.7149999999999999,0.3723909236273086,-0.75
Ta88W12,./03_Matrix_Binaries/MATRIX_BIN_057_Ta87_W12,8,0,0,0,0,0,0,0,0,88,0,0,12,0,-96.1884972,-12.02356215,-0.0034047584000003184,-3.4047584000003184,-3.4047584000003184,1,,142.35865234435133,5.697293411509102,5.697293411509102,5.697293411509102,109.47122063449069,109.47122063449069,109.47122063449069,0.0,5.12,1.4516,17.736,0.015670506705001846,1.6032,0.279466921119477,-0.4224
Ta12V88,./03_Matrix_Binaries/MATRIX_BIN_058_Ta12_V87,8,0,0,0,0,0,0,0,0,12,0,88,0,0,-74.16028169,-9.27003521125,0.06225101474999839,62.25101474999839,62.25101474999839,1,,111.40907388352862,5.250260090429527,5.250260090429527,5.250260090429527,109.47122063449069,109.47122063449069,109.47122063449069,0.0,5.0,1.3544,13.952,0.028791630494870445,1.6143999999999998,0.04224499970410696,0.0
