alloy_name,run_folder,natoms,missing_refs,volume_A3,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg,lattice_parameter,n_formula_units,multiplicity,total_energy_eV,energy_per_atom_eV,formation_energy_per_atom_eV,formation_energy_per_atom_meV,VEC,VEC_missing_for,X_Ru,X_Hf,X_Ti,X_Zr,X_Al,X_Mo,X_Nb,X_Ta,X_W,X_V,X_Cr,X_Cu,X_Si
MATRIX_BIN_056_Ta75_W25,./03_Matrix_Binaries/MATRIX_BIN_056_Ta75_W25,8,,139.6825218,5.657123458,5.657123458,5.657123458,109.4102199,109.4102199,109.4102199,3.268591838,4,2,-97.42019891,-12.17752486,-0.021707099,-21.70709875,5.25,,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0
MATRIX_BIN_057_Ta87_W12,./03_Matrix_Binaries/MATRIX_BIN_057_Ta87_W12,8,,142.3586523,5.697293412,5.697293412,5.697293412,109.4712206,109.4712206,109.4712206,2.610746034,8,1,-96.19363567,-12.02420446,-0.005622646,-5.62264625,5.125,,0,0,0,0,0,0,0,0.875,0.125,0,0,0,0
MATRIX_BIN_058_Ta12_V87,./03_Matrix_Binaries/MATRIX_BIN_058_Ta12_V87,8,,111.4090739,5.25026009,5.25026009,5.25026009,109.4712206,109.4712206,109.4712206,2.405896049,8,1,-74.18010432,-9.27251304,0.06873568,68.73568,5,,0,0,0,0,0,0,0,0.125,0,0.875,0,0,0
MATRIX_BIN_059_Ta25_V75,./03_Matrix_Binaries/MATRIX_BIN_059_Ta25_V75,8,,116.8768749,5.298733635,5.445982711,5.298733635,110.0351457,108.9014562,110.0351457,3.080038888,4,2,-76.80759406,-9.600949258,0.103170482,103.1704825,5,,0,0,0,0,0,0,0,0.25,0,0.75,0,0,0
MATRIX_BIN_060_Ta50_V50,./03_Matrix_Binaries/MATRIX_BIN_060_Ta50_V50,8,,127.2504437,5.488198123,5.488198123,5.488198123,109.7576794,109.3281814,109.3281814,3.992176831,2,4,-82.49265763,-10.3115822,0.118279576,118.2795762,5,,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0
MATRIX_BIN_061_Ta75_V25,./03_Matrix_Binaries/MATRIX_BIN_061_Ta75_V25,8,,136.5843937,5.605077937,5.605077937,5.605077937,109.2646242,109.2646242,109.2646242,3.244245389,4,2,-88.57797618,-11.07224702,0.083356798,83.3567975,5,,0,0,0,0,0,0,0,0.75,0,0.25,0,0,0
MATRIX_BIN_062_Ta87_V12,./03_Matrix_Binaries/MATRIX_BIN_062_Ta87_V12,8,,140.8620778,5.677258383,5.677258383,5.677258383,109.4712206,109.4712206,109.4712206,2.601565119,8,1,-91.76194668,-11.47024334,0.048231505,48.231505,5,,0,0,0,0,0,0,0,0.875,0,0.125,0,0,0
MATRIX_BIN_063_W12_V87,./03_Matrix_Binaries/MATRIX_BIN_063_W12_V87,8,,108.7482616,5.208125066,5.208125066,5.208125066,109.4712206,109.4712206,109.4712206,2.38658796,8,1,-75.76728876,-9.470911095,0.007573578,7.5735775,5.125,,0,0,0,0,0,0,0,0,0.125,0.875,0,0,0
MATRIX_BIN_064_W25_V75,./03_Matrix_Binaries/MATRIX_BIN_064_W25_V75,8,,111.5466047,5.225153539,5.225153539,5.225153539,109.0376167,109.0376167,109.0376167,3.032485885,4,2,-79.91191313,-9.988989141,-0.010397496,-10.39749625,5.25,,0,0,0,0,0,0,0,0,0.25,0.75,0,0,0
MATRIX_BIN_065_W50_V50,./03_Matrix_Binaries/MATRIX_BIN_065_W50_V50,8,,116.9809304,5.336369863,5.336369863,5.336369863,109.5613797,109.4261599,109.4261599,3.881757122,2,4,-88.26974672,-11.03371834,-0.05491275,-54.91275,5.5,,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0
MATRIX_BIN_066_W75_V25,./03_Matrix_Binaries/MATRIX_BIN_066_W75_V25,8,,122.3169777,5.405773257,5.448137035,5.405773257,109.6300489,109.3119264,109.6300489,3.12710346,4,2,-96.56880388,-12.07110049,-0.09208095,-92.08095,5.75,,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0
MATRIX_BIN_067_W87_V12,./03_Matrix_Binaries/MATRIX_BIN_067_W87_V12,8,,125.0285306,5.456033221,5.456033221,5.456033221,109.4712206,109.4712206,109.4712206,2.50019019,8,1,-100.5124606,-12.56405758,-0.084931073,-84.9310725,5.875,,0,0,0,0,0,0,0,0,0.875,0.125,0,0,0
