BCC_Name,B2_Name,Misfit,a_BCC,a_B2,B2_Formation_Energy,B2_VEC,B2_delta_r,B2_chi_avg,B2_delta_chi,B2_Hmix,BCC_Name,BCC_Mo,BCC_Ta,BCC_V,BCC_Nb,B2_Name,B2_Ru,B2_Hf,B2_Ti,B2_Zr,B2_Al,B2_Mo,B2_Nb,B2_Ta,B2_W,B2_V,B2_Cr,B2_Cu,B2_Si
Mo25-Ta75,MATRIX_BIN_059_Ta25_V75,-0.05810775079106935,3.26436851,3.080038888,0.103170482,5.0,0.0379281198737709,1.5975,0.0562916512459884,0.0,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_059_Ta25_V75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_060_Ta50_V50,0.20059361219389915,3.26436851,3.992176831,0.118279576,5.0,0.0428571428571428,1.565,0.0649999999999999,0.0,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_060_Ta50_V50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_061_Ta75_V25,-0.006183535023668219,3.26436851,3.244245389,0.083356798,5.0,0.0363367302287176,1.5325,0.0562916512459884,0.0,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_061_Ta75_V25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_062_Ta87_V12,-0.22598393808045594,3.26436851,2.601565119,0.048231505,5.0,0.0269752243651442,1.5156,0.0422449997041069,0.0,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_062_Ta87_V12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.125,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_063_W12_V87,-0.31066618709947347,3.26436851,2.38658796,0.007573578,5.125,0.0120713795016878,1.7175999999999998,0.23722192141537,0.0,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_063_W12_V87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_064_W25_V75,-0.07365030551893532,3.26436851,3.032485885,-0.010397496,5.25,0.0160078632862187,1.8125,0.3160992723813201,0.0,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_064_W25_V75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_065_W50_V50,0.17278974476333403,3.26436851,3.881757122,-0.05491275,5.5,0.0183150183150182,1.995,0.365,0.0,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_065_W50_V50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_066_W75_V25,-0.0429525626160261,3.26436851,3.12710346,-0.09208095,5.75,0.0157173394516231,2.1775,0.3160992723813201,0.0,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_066_W75_V25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0
Mo25-Ta75,MATRIX_BIN_067_W87_V12,-0.26512985981043097,3.26436851,2.50019019,-0.084931073,5.875,0.0117399398910924,2.2724,0.23722192141537,0.0,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_BIN_067_W87_V12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0,0.0
Mo25-Ta75,MATRIX_TERN_068_Nb33_Mo33_Ta33,0.13196539619582617,3.26436851,3.725584467,-0.065262171,5.333333333,0.0229686657461987,1.7533333333333334,0.2904402788105596,-2.2222222222222228,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_TERN_068_Nb33_Mo33_Ta33,0.0,0.0,0.0,0.0,0.0,0.333333333,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_TERN_069_Nb33_Mo33_W33,0.11830320947521877,3.26436851,3.674833441,-0.049686914,5.666666667,0.0233478654165369,2.0400000000000005,0.3216623488483951,-2.2222222222222223,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_TERN_069_Nb33_Mo33_W33,0.0,0.0,0.0,0.0,0.0,0.333333333,0.333333333,0.0,0.333333333,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_TERN_070_Nb33_Mo33_V33,0.10159875974931612,3.26436851,3.613773878,-0.013214523,5.333333333,0.0352382411938744,1.7966666666666669,0.2572072229848058,-1.777777777777778,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_TERN_070_Nb33_Mo33_V33,0.0,0.0,0.0,0.0,0.0,0.333333333,0.333333333,0.0,0.0,0.333333333,0.0,0.0,0.0
Mo25-Ta75,MATRIX_TERN_071_Nb33_Ta33_W33,0.13322751674323183,3.26436851,3.730310358,-0.031019427,5.333333333,0.0229686657461987,1.82,0.3840138886377244,-1.777777777777778,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_TERN_071_Nb33_Ta33_W33,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.333333333,0.333333333,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_TERN_072_Nb33_Ta33_V33,0.121081655946086,3.26436851,3.685094771,0.08652521,5.0,0.0398370017569885,1.5766666666666669,0.0555777733351102,-0.8888888888888891,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_TERN_072_Nb33_Ta33_V33,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.333333333,0.0,0.333333333,0.0,0.0,0.0
Mo25-Ta75,MATRIX_TERN_073_Nb33_W33_V33,0.10396164105705687,3.26436851,3.622345558,0.018775382,5.333333333,0.0352382411938744,1.8633333333333333,0.351409858838492,-1.3333333333333337,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_TERN_073_Nb33_W33_V33,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.333333333,0.333333333,0.0,0.0,0.0
Mo25-Ta75,MATRIX_TERN_074_Mo33_Ta33_W33,0.1165182703981984,3.26436851,3.668257294,-0.093088097,5.666666667,0.0233478654165369,2.006666666666667,0.3674537007872178,-1.777777777777778,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_TERN_074_Mo33_Ta33_W33,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.333333333,0.333333333,0.0,0.0,0.0,0.0
Mo25-Ta75,MATRIX_TERN_075_Mo33_Ta33_V33,0.09989441496449436,3.26436851,3.607604365,-0.042224622,5.333333333,0.0352382411938744,1.7633333333333336,0.2854625875467553,-1.3333333333333337,Mo25-Ta75,0.25,0.75,0.0,0.0,MATRIX_TERN_075_Mo33_Ta33_V33,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.333333333,0.0,0.333333333,0.0,0.0,0.0
