B2_Name,a_B2,B2_Formation_Energy,B2_VEC,B2_delta_r,B2_chi_avg,B2_delta_chi,B2_Hmix,B2_Ru,B2_Hf,B2_Ti,B2_Zr,B2_Al,B2_Mo,B2_Nb,B2_Ta,B2_W,B2_V,B2_Cr,B2_Cu,B2_Si
MATRIX_BIN_054_Ta25_W75,3.197793083,-0.107372831,5.75,0.0215352675896663,2.145,0.3723909236273086,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0
MATRIX_BIN_055_Ta50_W50,4.068337625,-0.070797609,5.5,0.0245614035087719,1.93,0.4299999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
MATRIX_BIN_056_Ta75_W25,3.268591838,-0.021707099,5.25,0.0210127480987559,1.715,0.3723909236273086,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0
MATRIX_BIN_057_Ta87_W12,2.610746034,-0.005622646,5.125,0.0156705067050018,1.6032,0.279466921119477,-0.4224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.125,0.0,0.0,0.0,0.0
MATRIX_BIN_058_Ta12_V87,2.405896049,0.06873568,5.0,0.0287916304948704,1.6143999999999998,0.0422449997041069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.875,0.0,0.0,0.0
MATRIX_BIN_059_Ta25_V75,3.080038888,0.103170482,5.0,0.0379281198737709,1.5975,0.0562916512459884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0
MATRIX_BIN_060_Ta50_V50,3.992176831,0.118279576,5.0,0.0428571428571428,1.565,0.0649999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
MATRIX_BIN_061_Ta75_V25,3.244245389,0.083356798,5.0,0.0363367302287176,1.5325,0.0562916512459884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0
MATRIX_BIN_062_Ta87_V12,2.601565119,0.048231505,5.0,0.0269752243651442,1.5156,0.0422449997041069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.125,0.0,0.0,0.0
MATRIX_BIN_063_W12_V87,2.38658796,0.007573578,5.125,0.0120713795016878,1.7175999999999998,0.23722192141537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0
